시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,성북구,기초,남자,75-79세,75,2,4,14,32,5,1,4,4,1
서울,성북구,기초,남자,80-84세,72,1,3,24,21,7,0,8,0,1
서울,성북구,기초,남자,85세이상,67,0,7,17,29,4,0,3,2,0
서울,성북구,기초,여자,65세미만,34,2,3,9,7,1,0,4,0,2
서울,성북구,기초,여자,65-69세,88,4,4,13,19,4,0,16,3,2
서울,성북구,기초,여자,70-74세,100,2,6,16,34,7,1,6,5,0
서울,성북구,기초,여자,75-79세,186,7,13,30,70,23,4,14,6,6
서울,성북구,기초,여자,80-84세,247,5,20,59,104,20,3,13,4,1
서울,성북구,기초,여자,85세이상,353,23,48,102,130,20,1,12,4,2
서울,성북구,의료,남자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,성북구,의료,남자,70-74세,1,0,1,0,0,0,0,0,0,0
서울,성북구,의료,남자,75-79세,2,0,0,1,0,0,0,0,0,0
서울,성북구,의료,남자,80-84세,2,0,0,0,0,0,0,0,0,0
서울,성북구,의료,남자,85세이상,4,0,0,0,2,1,0,0,0,0
서울,성북구,의료,여자,65-69세,1,0,0,0,0,0,0,0,0,0
서울,성북구,의료,여자,70-74세,0,0,0,0,0,0,0,0,0,0
서울,성북구,의료,여자,75-79세,4,0,0,1,3,0,0,0,0,0
서울,성북구,의료,여자,80-84세,4,0,0,0,2,0,0,0,0,0
서울,성북구,의료,여자,85세이상,23,2,5,6,7,1,0,0,0,0
서울,성북구,감경,남자,65세미만,39,7,3,13,10,2,0,1,1,0
